title,type,calories,fat,carb,protein,NER,unit,quantity,link,directions,ingredients
No-Bake Nut Cookies,Breakfast,260,18,24,2,"[""brown sugar"", ""milk"", ""vanilla"", ""nuts"", ""butter"", ""bite size shredded rice biscuits""]","['c', 'c', 'tsp', 'c', 'tbsp', 'c']","['1', '1/2', '1/2', '1/2', '2', '3 1/2']",www.cookbooks.com/Recipe-Details.aspx?id=44874,"[""In a heavy 2-quart saucepan, mix brown sugar, nuts, evaporated milk and butter or margarine."", ""Stir over medium heat until mixture bubbles all over top."", ""Boil and stir 5 minutes more. Take off heat."", ""Stir in vanilla and cereal; mix well."", ""Using 2 teaspoons, drop and shape into 30 clusters on wax paper."", ""Let stand until firm, about 30 minutes.""]","[""1 c. firmly packed brown sugar"", ""1/2 c. evaporated milk"", ""1/2 tsp. vanilla"", ""1/2 c. broken nuts (pecans)"", ""2 Tbsp. butter or margarine"", ""3 1/2 c. bite size shredded rice biscuits""]"
Jewell Ball's Chicken,Lunch,960,36,96,48,"[""beef"", ""chicken breasts"", ""cream of mushroom soup"", ""sour cream""]","['none', 'none', 'can', 'carton']","['1', '4', '1', '1']",www.cookbooks.com/Recipe-Details.aspx?id=699419,"[""Place chipped beef on bottom of baking dish."", ""Place chicken on top of beef."", ""Mix soup and cream together; pour over chicken. Bake, uncovered, at 275\u00b0 for 3 hours.""]","[""1 small jar chipped beef, cut up"", ""4 boned chicken breasts"", ""1 can cream of mushroom soup"", ""1 carton sour cream""]"
Creamy Corn,Dinner,368,2,92,10,"[""frozen corn"", ""cream cheese"", ""butter"", ""garlic powder"", ""salt"", ""pepper""]","['oz', 'oz', 'c', 'tsp', 'tsp', 'tsp']","['16', '8', '1/3', '1/2', '1/2', '1/4']",www.cookbooks.com/Recipe-Details.aspx?id=10570,"[""In a slow cooker, combine all ingredients. Cover and cook on low for 4 hours or until heated through and cheese is melted. Stir well before serving. Yields 6 servings.""]","[""2 (16 oz.) pkg. frozen corn"", ""1 (8 oz.) pkg. cream cheese, cubed"", ""1/3 c. butter, cubed"", ""1/2 tsp. garlic powder"", ""1/2 tsp. salt"", ""1/4 tsp. pepper""]"
Chicken Funny,Lunch,656,46,10,56,"[""chicken"", ""chicken gravy"", ""cream of mushroom soup"", ""shredded cheese""]","['none', 'oz', 'oz', 'oz', 'oz']","['1', '10 1/2', '10 1/2', '6', '4']",www.cookbooks.com/Recipe-Details.aspx?id=897570,"[""Boil and debone chicken."", ""Put bite size pieces in average size square casserole dish."", ""Pour gravy and cream of mushroom soup over chicken; level."", ""Make stuffing according to instructions on box (do not make too moist)."", ""Put stuffing on top of chicken and gravy; level."", ""Sprinkle shredded cheese on top and bake at 350\u00b0 for approximately 20 minutes or until golden and bubbly.""]","[""1 large whole chicken"", ""2 (10 1/2 oz.) cans chicken gravy"", ""1 (10 1/2 oz.) can cream of mushroom soup"", ""1 (6 oz.) box Stove Top stuffing"", ""4 oz. shredded cheese""]"
Reese's Cups (Candy),Breakfast,460,28,48,10,"[""peanut butter"", ""graham cracker crumbs"", ""butter"", ""powdered sugar"", ""chocolate chips""]","['c', 'c', 'c', 'lb', 'none']","['1', '3/4', '1', '1', '1']",www.cookbooks.com/Recipe-Details.aspx?id=659239,"[""Combine first four ingredients and press in 13 x 9-inch ungreased pan."", ""Melt chocolate chips and spread over mixture. Refrigerate for about 20 minutes and cut into pieces before chocolate gets hard."", ""Keep in refrigerator.""]","[""1 c. peanut butter"", ""3/4 c. graham cracker crumbs"", ""1 c. melted butter"", ""1 lb. (3 1/2 c.) powdered sugar"", ""1 large pkg. chocolate chips""]"
Cheeseburger Potato Soup,Dinner,210,8,28,8,"[""baking potatoes"", ""extra lean ground beef"", ""butter"", ""milk"", ""salt"", ""pepper"", ""Cheddar cheese"", ""bacon"", ""green onion"", ""sour cream""]","['none', 'lb', 'c', 'c', 'tsp', 'tsp', 'c', 'slice', 'none', 'oz']","['6', '1', '2/3', '6', '3/4', '1/2', '1 1/2', '12', '4', '8']",www.cookbooks.com/Recipe-Details.aspx?id=20115,"[""Wash potatoes; prick several times with a fork."", ""Microwave them with a wet paper towel covering the potatoes on high for 6-8 minutes."", ""The potatoes should be soft, ready to eat."", ""Let them cool enough to handle."", ""Cut in half lengthwise; scoop out pulp and reserve."", ""Discard shells."", ""Brown ground beef until done."", ""Drain any grease from the meat."", ""Set aside when done."", ""Meat will be added later."", ""Melt butter in a large kettle over low heat; add flour, stirring until smooth."", ""Cook 1 minute, stirring constantly. Gradually add milk; cook over medium heat, stirring constantly, until thickened and bubbly."", ""Stir in potato, ground beef, salt, pepper, 1 cup of cheese, 2 tablespoons of green onion and 1/2 cup of bacon."", ""Cook until heated (do not boil)."", ""Stir in sour cream if desired; cook until heated (do not boil)."", ""Sprinkle with remaining cheese, bacon and green onions.""]","[""6 baking potatoes"", ""1 lb. of extra lean ground beef"", ""2/3 c. butter or margarine"", ""6 c. milk"", ""3/4 tsp. salt"", ""1/2 tsp. pepper"", ""1 1/2 c (6 oz.) shredded Cheddar cheese, divided"", ""12 sliced bacon, cooked, crumbled and divided"", ""4 green onion, chopped and divided"", ""1 (8 oz.) carton sour cream (optional)""]"
Rhubarb Coffee Cake,Breakfast,376,12,60,8,"[""sugar"", ""butter"", ""egg"", ""buttermilk"", ""flour"", ""salt"", ""soda"", ""buttermilk"", ""rhubarb"", ""vanilla""]","['c', 'c', 'none', 'c', 'c', 'tsp', 'tsp', 'c', 'c', 'tsp']","['1 1/2', '1/2', '1', '1', '2', '1/2', '1', '1', '2', '1']",www.cookbooks.com/Recipe-Details.aspx?id=210288,"[""Cream sugar and butter."", ""Add egg and beat well."", ""To creamed butter, sugar and egg, add alternately buttermilk with mixture of flour, salt and soda."", ""Mix well."", ""Add rhubarb and vanilla."", ""Pour into greased 9 x 13-inch pan and add Topping.""]","[""1 1/2 c. sugar"", ""1/2 c. butter"", ""1 egg"", ""1 c. buttermilk"", ""2 c. flour"", ""1/2 tsp. salt"", ""1 tsp. soda"", ""1 c. buttermilk"", ""2 c. rhubarb, finely cut"", ""1 tsp. vanilla""]"
Scalloped Corn,Dinner,514,22,68,20,"[""cream-style corn"", ""whole kernel corn"", ""crackers"", ""egg"", ""butter"", ""pepper""]","['can', 'can', 'pkg', 'none', 'tsp', 'none']","['1', '1', '1/2', '1', '6', 'none']",www.cookbooks.com/Recipe-Details.aspx?id=876969,"[""Mix together both cans of corn, crackers, egg, 2 teaspoons of melted butter and pepper and place in a buttered baking dish."", ""Dot with remaining 4 teaspoons of butter."", ""Bake at 350\u00b0 for 1 hour.""]","[""1 can cream-style corn"", ""1 can whole kernel corn"", ""1/2 pkg. (approximately 20) saltine crackers, crushed"", ""1 egg, beaten"", ""6 tsp. butter, divided"", ""pepper to taste""]"
Nolan's Pepper Steak,Dinner,560,40,0,44,"[""tomatoes"", ""water"", ""onions"", ""Worcestershire sauce"", ""green peppers"", ""oil""]","['lb', 'can', 'c', 'c', 'tbsp', 'none', 'c']","['1 1/2', '1', '1 3/4', '1/2', '1 1/2', '2', '1/4']",www.cookbooks.com/Recipe-Details.aspx?id=375254,"[""Roll steak strips in flour."", ""Brown in skillet."", ""Salt and pepper."", ""Combine tomato liquid, water, onions and browned steak. Cover and simmer for one and a quarter hours."", ""Uncover and stir in Worcestershire sauce."", ""Add tomatoes, green peppers and simmer for 5 minutes."", ""Serve over hot cooked rice.""]","[""1 1/2 lb. round steak (1-inch thick), cut into strips"", ""1 can drained tomatoes, cut up (save liquid)"", ""1 3/4 c. water"", ""1/2 c. onions"", ""1 1/2 Tbsp. Worcestershire sauce"", ""2 green peppers, diced"", ""1/4 c. oil""]"
Millionaire Pie,Breakfast,768,50,80,6,"[""pineapple"", ""condensed milk"", ""lemons"", ""pecans"", ""graham cracker crusts""]","['none', 'none', 'can', 'none', 'c', 'none']","['1', '1', '1', '3', '1', '2']",www.cookbooks.com/Recipe-Details.aspx?id=794547,"[""Empty Cool Whip into a bowl."", ""Drain juice from pineapple."", ""Mix Cool Whip and pineapple."", ""Add condensed milk."", ""Squeeze lemons, remove seeds and add to Cool Whip and pineapple."", ""Chop nuts into small pieces and add to mixture."", ""Stir all ingredients together and mix well."", ""Pour into a graham cracker crust."", ""Use top from crust to cover top of pie."", ""Chill overnight."", ""Makes 2 pies.""]","[""1 large container Cool Whip"", ""1 large can crushed pineapple"", ""1 can condensed milk"", ""3 lemons"", ""1 c. pecans"", ""2 graham cracker crusts""]"
